date,Open,High,Low,Close,Volume,RSI,SMA_20,EMA_50,MACD,BB_upper,BB_middle,BB_lower,Price_Change,Direction,SMA5,SMA20,SMA50,MACD_Signal
2000-01-11,43.0,43.5,41.5,41.5,308600.0,50.238873390296405,42.6265,37.793,1.653699813314951,44.67727229139733,42.402,40.12672770860267,-3.488372093023256,0,,,,1.653699813314951
2000-01-12,41.5,41.56,39.88,40.44,257400.0,47.29305811318677,42.789,37.89680392156863,1.3154223195300077,43.50911173600311,41.652,39.794888263996896,-2.554216867469885,0,,,,1.5860443145579624
2000-01-13,40.38,42.5,39.88,42.13,275400.0,52.11407872505176,43.0955,38.06281161091887,1.1702143421255045,43.6619549939558,41.84,40.0180450060442,4.33382862803368,1,,,,1.502878320071471
2000-01-14,42.75,45.69,42.63,43.94,1259500.0,56.6838795895198,43.505,38.29328958696127,1.1874990966704004,44.73539767254471,42.252,39.76860232745528,2.783625730994147,1,,,,1.439802475391257
2000-01-18,44.5,46.0,42.5,45.81,545100.0,60.84165885335435,43.914,38.588062544335344,1.3366823192150292,46.56523348401548,42.764,38.96276651598451,2.943820224719106,1,42.763999999999996,,,1.4191784441560116
2000-01-19,46.0,46.0,45.0,45.38,343100.0,59.42904913208717,44.1455,38.85441303279279,1.404028920135005,47.56955084345644,43.54,39.51044915654356,-1.3478260869565162,0,43.54,,,1.4161485393518103
2000-01-20,45.75,48.25,44.88,45.25,374100.0,58.98317847098328,44.283,39.10522036484013,1.4304226511106606,47.1828177856767,44.502,41.821182214323294,-1.092896174863388,0,44.501999999999995,,,1.4190033617035804
2000-01-21,45.13,45.31,43.63,44.75,1133900.0,57.205476089211786,44.3455,39.32658427210131,1.394914347446452,46.30528730158653,45.026,43.74671269841346,-0.8420119654331987,0,45.025999999999996,,,1.4141855588521548
2000-01-24,46.19,46.19,42.5,42.75,535300.0,50.63192561959396,44.164,39.46083586927381,1.1916538320691288,46.93523636332858,44.788,42.640763636671416,-7.447499458757302,0,44.788,,,1.3696792134955498
2000-01-25,42.94,43.38,41.0,42.38,494000.0,49.49870964812515,44.0515,39.57531289400817,0.9893083703681568,46.65766507977875,44.102,41.546334920221256,-1.3041453190498258,0,44.102000000000004,,,1.2936050448700713
