date,Open,High,Low,Close,Volume,RSI,SMA_20,EMA_50,MACD,BB_upper,BB_middle,BB_lower
2004-12-09,170.25,173.5,168.47,173.43,15292600.0,50.64914506678052,175.62825,161.02863025122033,2.006907432990687,181.72630295877508,174.30599999999998,166.8856970412249
2004-12-10,173.43,174.88,171.29,171.65,8625700.0,48.8477043971185,175.05975,161.44515455509404,1.5836738868995042,176.88553761965494,172.55599999999998,168.22646238034503
2004-12-13,172.03,173.18,169.45,170.45,9627500.0,47.61809882303736,174.48225,161.7982857490119,1.1383065913933308,173.7716912551772,171.388,169.00430874482282
2004-12-14,171.0,178.82,169.6,178.69,22154600.0,55.838549740628494,174.17325,162.4607059157173,1.4337218830463883,179.1568599794524,172.84,166.5231400205476
2004-12-15,177.99,180.69,176.66,179.78,22919000.0,56.8042435278535,174.53500000000003,163.13989391902254,1.7357854661586885,182.31821255352673,174.8,167.2817874464733
2004-12-16,177.22,180.49,175.95,176.47,17128400.0,53.01313858574988,174.7335,163.66264317710008,1.688618353598116,182.876230312464,175.408,167.93976968753597
2004-12-17,176.76,180.5,176.55,180.08,14757600.0,56.42860764614341,175.3605,164.3064610917236,1.9203977571065423,184.20512480554277,177.094,169.98287519445722
2004-12-20,182.0,188.46,181.87,185.02,19649300.0,60.6444497638152,176.1415,165.11875673518543,2.4741805062130595,185.62453843572754,180.00799999999998,174.39146156427242
2004-12-21,186.28,187.88,183.4,183.75,11021500.0,59.06227473871279,177.07399999999998,165.8493937259625,2.778549548889515,187.1242018315259,181.01999999999998,174.91579816847405
2004-12-22,183.9,186.85,183.01,186.3,7806100.0,61.24839620542728,178.01299999999998,166.6513782857287,3.1887697441615046,189.5025970774243,182.324,175.14540292257573
2004-12-23,187.45,188.6,186.0,187.9,7221900.0,62.59801080549535,178.67000000000002,167.4846575686413,3.601463404341416,189.90972074736052,184.61,179.3102792526395
2004-12-27,189.43,193.3,189.1,191.91,12195900.0,65.81171889611342,179.296,168.44251413457695,4.203642614974228,192.62493759923075,186.97600000000003,181.3270624007693
2004-12-28,192.11,193.55,191.01,192.76,8283300.0,66.46939542972696,179.88150000000002,169.3961410312602,4.69533695247884,195.30841272329465,188.52400000000003,181.7395872767054
2004-12-29,191.97,193.52,191.78,192.9,5350800.0,66.58341801910365,180.4275,170.31786099081864,5.03822753653543,195.80554069965558,190.354,184.90245930034445
2004-12-30,192.97,198.23,191.85,197.6,11796700.0,70.24196226046753,181.3095,171.38774879510026,5.624387082032342,198.79012953232035,192.61399999999998,186.4378704676796
2004-12-31,199.23,199.88,192.56,192.79,15321600.0,62.67887082450431,181.97899999999998,172.22705276391986,5.63582960819619,197.66213316735454,193.592,189.5218668326455
2005-01-03,197.4,203.64,195.46,202.71,31656700.0,69.88145017960979,183.0945,173.42246245945242,6.3719076032454325,203.63556670549556,195.752,187.86843329450446
2005-01-04,201.33,202.93,193.48,194.5,27484200.0,59.62538763714738,184.00500000000002,174.24903255908174,6.221063780526208,203.56716545952997,196.1,188.63283454047001
2005-01-05,193.45,196.9,192.23,193.51,16456700.0,58.51025263991343,185.10899999999998,175.00436461558834,5.953011625626232,203.49341691831773,196.22199999999998,188.95058308168223
2005-01-06,195.25,195.9,187.72,188.55,20753400.0,53.147247951629964,186.0375,175.53556600321235,5.279489149557861,203.6498387082693,194.412,185.1741612917307
2005-01-07,190.64,194.25,188.78,193.85,19306400.0,57.61758975561534,187.0585,176.2537791011256,5.11442750421017,203.75120417214376,194.624,185.49679582785623
2005-01-10,194.5,198.1,191.83,195.06,15064100.0,58.58902807955031,188.22899999999998,176.99127795990498,5.023345844701765,197.7617206428833,193.094,188.4262793571167
2005-01-11,195.62,197.71,193.18,193.54,13903400.0,56.82694338265185,189.3835,177.64024745167342,4.773485902412261,197.39842346760165,192.902,188.40557653239833
2005-01-12,194.33,195.93,190.5,195.38,16339200.0,58.45578898550548,190.21800000000002,178.33592402219602,4.670108615405809,198.20296417685364,193.276,188.34903582314638
2005-01-13,195.38,197.39,194.05,195.33,13685100.0,58.39131978588491,190.9955,179.00235837426678,4.531905799484463,196.189916557457,194.632,193.074083442543
2005-01-14,196.0,200.01,194.13,199.97,19261300.0,62.52210489541477,192.1705,179.82461883017788,4.742124040007781,200.1850386923656,195.856,191.5269613076344
2005-01-18,200.89,205.02,198.66,203.9,26318800.0,65.63407852908706,193.3615,180.76875142507288,5.1662879146057605,205.20655471460628,197.624,190.0414452853937
2005-01-19,204.64,205.3,196.71,197.3,22492800.0,57.06444270967143,193.9755,181.41703568291317,4.913239236132853,204.85472333102734,198.376,191.89727666897267
2005-01-20,192.58,196.25,192.0,193.92,17985100.0,53.23127936722284,194.484,181.90734800907342,4.389360764552862,205.1788386873838,198.084,190.9891613126162
2005-01-21,194.44,195.36,188.12,188.28,18498200.0,47.49786981322503,194.583,182.15725593028623,3.47897893337705,207.3140872176876,196.674,186.03391278231243
2005-01-24,188.69,189.33,180.32,180.72,28017300.0,41.10662749205266,194.224,182.10089295262796,2.1229934082863053,208.59912776493428,192.824,177.04887223506574
2005-01-25,182.2,182.24,176.29,177.12,21297000.0,38.45318970074625,193.4845,181.90556381723079,0.7492384423800047,202.74078573148992,187.46800000000002,172.1952142685101
2005-01-26,179.27,189.41,179.15,189.24,24591100.0,50.125578311160794,193.3085,182.1931887655747,0.6312339711727475,198.02321890984138,185.856,173.6887810901586
2005-01-27,188.76,188.86,185.2,188.08,13241500.0,49.16452801933171,193.0675,182.42404410810119,0.4390511635753569,194.41007714431453,184.68800000000002,174.9659228556855
2005-01-28,190.13,194.7,186.34,190.34,24391900.0,51.13042351386442,192.7045,182.73447375092076,0.4637620560437483,195.54384603486676,185.1,174.65615396513323
2005-01-31,193.69,196.36,191.72,195.62,19174200.0,55.4637133443161,192.846,183.23978850578663,0.8990339854017293,200.19367491721655,188.08,175.96632508278347
2005-02-01,194.38,203.75,190.63,191.9,37640300.0,51.967448997603945,192.3055,183.5794046428146,0.9330614629852789,196.2672537694133,191.036,185.80474623058672
2005-02-02,215.55,216.8,203.66,205.96,65533000.0,61.77516717076151,192.87849999999997,184.45707504897874,2.070683430174853,206.95922096156994,194.38000000000002,181.8007790384301
2005-02-03,205.99,213.37,205.81,210.86,25950200.0,64.4960185844698,193.746,185.49248387058742,3.3292683511333507,215.08309187439025,198.936,182.78890812560977
2005-02-04,206.47,207.75,202.6,204.36,29608900.0,58.54301336042608,194.5365,186.2323864638977,3.7588802595637105,215.65767796724722,201.74,187.8223220327528
2005-02-07,205.26,206.4,195.51,196.03,25894800.0,51.92812758849046,194.64550000000003,186.6166066025684,3.388133119336061,215.59859696732101,201.822,188.045403032679
2005-02-08,196.96,200.02,194.53,198.64,22937000.0,53.69362956096251,194.8245,187.0881122259971,3.2672556377407886,213.74683506536803,203.17000000000002,192.593164934632
2005-02-09,200.76,201.6,189.46,191.58,34308600.0,48.50435359530605,194.72650000000002,187.2642646877227,2.572126492471085,213.7111210026592,200.294,186.8768789973408
